FROM STATION ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,ZIP
289,Wells St & Concord Ln,19,19,In Service,41.912133,-87.634656,"(41.912133, -87.634656)",60614
245,Clarendon Ave & Junior Ter,23,23,In Service,41.961004,-87.649603,"(41.961004, -87.649603)",60613
222,Milwaukee Ave & Rockwell St,19,19,In Service,41.92019556,-87.6926592,"(41.92019556200566, -87.69265919923781)",60647
30,Ashland Ave & Augusta Blvd,15,15,In Service,41.899643,-87.6677,"(41.899643, -87.6677)",60622
291,Wells St & Evergreen Ave,19,19,In Service,41.906724,-87.63483,"(41.906724, -87.63483)",60610
26,New St & Illinois St,31,31,In Service,41.89084704,-87.61861682,"(41.890847040623804, -87.61861681938171)",60611
31,Franklin St & Chicago Ave,23,23,In Service,41.89674697,-87.63566762,"(41.896746973093805, -87.63566762208939)",60610
73,Jefferson St & Monroe St,19,19,In Service,41.88032963,-87.64274597,"(41.880329633634624, -87.64274597167967)",60661
210,Ashland Ave & Division St,27,27,In Service,41.90345,-87.667747,"(41.90345, -87.667747)",60622
60,Dayton St & North Ave,19,19,In Service,41.91057804,-87.64942193,"(41.9105780349, -87.6494219288)",60642
25,Michigan Ave & Pearson St,23,23,In Service,41.89766,-87.62351,"(41.89766, -87.62351)",60611
157,DuSable Lake Shore Dr & Wellington Ave,15,15,In Service,41.93668845,-87.63682902,"(41.9366884494997, -87.63682901859283)",60657
318,Southport Ave & Irving Park Rd,15,15,In Service,41.954177,-87.664358,"(41.954177, -87.664358)",60613
56,Desplaines St & Kinzie St,27,27,In Service,41.88871604,-87.64444785,"(41.888716036, -87.6444478533)",60661
115,Sheffield Ave & Wellington Ave,23,23,In Service,41.93625348,-87.6526621,"(41.9362534831413, -87.65266209840775)",60657
169,Canal St & Harrison St,15,15,In Service,41.874255,-87.639573,"(41.874255, -87.639573)",60699
181,LaSalle St & Illinois St,31,31,In Service,41.890762,-87.631697,"(41.890762, -87.631697)",60654
14,Morgan St & 18th St,15,15,In Service,41.858086,-87.651073,"(41.858086, -87.651073)",60608
111,Sedgwick St & Huron St,27,27,In Service,41.894666,-87.638437,"(41.894666, -87.638437)",60654
128,Damen Ave & Chicago Ave,19,19,In Service,41.895769,-87.67722,"(41.895769, -87.67722)",60612
